week,function,x1,x2,x3,x4,x5,x6,x7,x8,output
1,F1,0.198798,0.726504,,,,,,,-6.305542907905346e-100
2,F1,0.445446,0.303395,,,,,,,4.813076308634641e-13
3,F1,0.444191,0.307902,,,,,,,-4.979785894490907e-11
4,F1,0.445195,0.304296,,,,,,,-1.7649577111435184e-12
5,F1,0.575254,0.299991,,,,,,,2.965084089300254e-28
6,F1,0.445321,0.303846,,,,,,,-4.4405640492969153e-13
7,F1,0.444599,0.303955,,,,,,,-7.914150613640869e-13
8,F1,0.445604,0.303154,,,,,,,8.35898933162676e-13
9,F1,0.445721,0.302739,,,,,,,1.2903240953085642e-12
10,F1,0.445279,0.302605,,,,,,,1.4924139047427462e-12
11,F1,0.445727,0.303103,,,,,,,8.8917080276942e-13
12,F1,0.445148,0.302635,,,,,,,1.4918123951494968e-12
13,F1,0.445557,0.302343,,,,,,,1.6273650278054652e-12
1,F2,0.988032,0.662768,,,,,,,0.09060915749878998
2,F2,0.72426,0.727737,,,,,,,0.5298302112849634
3,F2,0.636773,0.791798,,,,,,,0.4065853419736423
4,F2,0.703101,0.926762,,,,,,,0.6363073345175521
5,F2,0.00129,0.994524,,,,,,,0.08278644921981192
6,F2,0.703101,0.926762,,,,,,,0.6432470949113037
7,F2,0.702978,0.927209,,,,,,,0.5674419706891185
8,F2,0.722992,0.946711,,,,,,,0.5583132114686667
9,F2,0.722926,0.94662,,,,,,,0.5648762580684581
10,F2,0.722216,0.946632,,,,,,,0.6187717936172208
11,F2,0.722518,0.946638,,,,,,,0.36045565870352186
12,F2,0.722753,0.946723,,,,,,,0.5672762616808641
13,F2,0.70375,0.927693,,,,,,,0.6194055410851929
1,F3,0.514163,0.474447,0.618891,,,,,,-0.07244084727501743
2,F3,0.530425,0.650526,0.216832,,,,,,-0.11634819224407625
3,F3,0.530425,0.650526,0.216832,,,,,,-0.12342110204682437
4,F3,0.491893,0.610905,0.339293,,,,,,-0.03394165741806919
5,F3,0.491805,0.610193,0.33898,,,,,,-0.0341155678741267
6,F3,0.491893,0.610905,0.339293,,,,,,-0.03542434842916565
7,F3,0.494493,0.611747,0.34018,,,,,,-0.03341081065869762
8,F3,0.502926,0.601847,0.330534,,,,,,-0.04040952907867935
9,F3,0.484592,0.601771,0.335502,,,,,,-0.043136803873936654
10,F3,0.503461,0.601806,0.349844,,,,,,-0.027299338751590352
11,F3,0.513338,0.591849,0.35977,,,,,,-0.025370208813690644
12,F3,0.504446,0.581865,0.369405,,,,,,-0.017900727295929876
13,F3,0.505391,0.581772,0.369623,,,,,,-0.017005906384694257
1,F4,0.446319,0.455197,0.381146,0.470268,,,,,-1.4155620706392926
2,F4,0.545496,0.488231,0.468331,0.507289,,,,,-4.518631418406592
3,F4,0.541107,0.489528,0.486479,0.505504,,,,,-4.584492331251578
4,F4,0.461081,0.460771,0.393283,0.472192,,,,,-2.293808141251407
5,F4,0.38,0.4,0.34,0.42,,,,,0.3616564034843539
6,F4,0.36,0.38,0.32,0.4,,,,,-0.36917616378048335
7,F4,0.379144,0.399537,0.34,0.420358,,,,,0.36412198250859307
8,F4,0.369502,0.408216,0.349846,0.422972,,,,,0.6356114535467516
9,F4,0.363653,0.39824,0.359405,0.432526,,,,,0.5491619136182213
10,F4,0.361023,0.410726,0.339894,0.432266,,,,,0.43675513569056834
11,F4,0.370118,0.40897,0.350437,0.422745,,,,,0.6429048046763346
12,F4,0.368009,0.399029,0.358847,0.412761,,,,,0.6255716936279367
13,F4,0.370669,0.409253,0.350881,0.421815,,,,,0.6496086060547062
1,F5,0.233972,0.882475,0.863542,0.888031,,,,,1227.0758566237776
2,F5,0.247806,0.804358,0.713705,0.78194,,,,,250.77464726505642
3,F5,0.284857,0.771303,0.814135,0.816544,,,,,433.22318000027946
4,F5,0.233284,0.883002,0.862887,0.888354,,,,,1228.222594165281
5,F5,0.233654,0.883494,0.862541,0.888771,,,,,1231.2634219899649
6,F5,0.234386,0.883696,0.862957,0.887812,,,,,1229.4001213150696
7,F5,0.235601,0.88322,0.861221,0.886965,,,,,1214.665849950719
8,F5,0.186499,0.929565,0.819577,0.844997,,,,,1085.6355263558942
9,F5,0.18488,0.836721,0.823065,0.937364,,,,,1108.61260755634
10,F5,0.279763,0.928002,0.818467,0.937387,,,,,1580.8807913393266
11,F5,0.286375,0.946011,0.798982,0.920888,,,,,1509.9608895507938
12,F5,0.280189,0.928043,0.818487,0.938348,,,,,1587.9144064476118
13,F5,0.279987,0.927602,0.818844,0.938221,,,,,1585.712983874532
1,F6,0.76902,0.176505,0.703712,0.657353,0.054712,,,,-0.7490058572727898
2,F6,0.671999,0.289463,0.668679,0.702657,0.176921,,,,-0.47416380700976457
3,F6,0.636006,0.393028,0.62302,0.696337,0.268322,,,,-0.49651967158832677
4,F6,0.666481,0.30283,0.661461,0.702577,0.188701,,,,-0.4803907033317801
5,F6,0.958705,0.006852,0.925718,0.131658,0.988036,,,,-2.730461570349955
6,F6,0.67294,0.289665,0.668425,0.702364,0.176367,,,,-0.44100410232415016
7,F6,0.673759,0.289092,0.668329,0.703226,0.175417,,,,-0.4039466815510615
8,F6,0.683627,0.298849,0.664131,0.712966,0.165463,,,,-0.41479475066976657
9,F6,0.682177,0.27937,0.658857,0.696708,0.184949,,,,-0.5007921224878797
10,F6,0.668301,0.298549,0.660361,0.693851,0.165712,,,,-0.5416136313740908
11,F6,0.683221,0.29834,0.678117,0.697005,0.181095,,,,-0.4954890700491567
12,F6,0.674092,0.28992,0.668841,0.703781,0.175672,,,,-0.4515045531048478
13,F6,0.674119,0.288605,0.668024,0.702245,0.175134,,,,-0.5284569548386657
1,F7,0.209186,0.596268,0.26773,0.666447,0.983048,0.935615,,,0.010876968149207328
2,F7,0.227021,0.477592,0.322992,0.290027,0.4377,0.735253,,,1.5842054188635026
3,F7,0.319776,0.462008,0.413965,0.36165,0.45031,0.744674,,,1.4601211595608088
4,F7,0.244011,0.477261,0.329209,0.296709,0.442835,0.7365,,,1.5500119702598218
5,F7,0.065652,0.782403,0.989472,0.204639,0.782236,0.040395,,,0.10315460551447259
6,F7,0.226608,0.47805,0.322864,0.289582,0.438224,0.734279,,,1.5811225744310884
7,F7,0.227402,0.479801,0.321921,0.290194,0.439637,0.733533,,,1.5656639216746193
8,F7,0.254731,0.429043,0.276112,0.260737,0.394633,0.689482,,,2.026443603557505
9,F7,0.241535,0.410514,0.294651,0.277836,0.414016,0.67264,,,2.028364151942616
10,F7,0.258036,0.427594,0.308916,0.25917,0.419276,0.654372,,,1.9352055843280758
11,F7,0.244264,0.393874,0.27526,0.292733,0.430452,0.657744,,,1.937057003895633
12,F7,0.241536,0.410566,0.29528,0.277533,0.414065,0.671716,,,2.029102131258342
13,F7,0.241985,0.410284,0.295099,0.277951,0.413597,0.671281,,,2.033160451533873
1,F8,0.127236,0.19947,0.067437,0.247566,0.856991,0.315391,0.050977,0.60213,9.8946869757755
2,F8,0.12031,0.200453,0.105415,0.241921,0.753752,0.441297,0.138017,0.66839,9.973699780926
3,F8,0.14087,0.228265,0.099817,0.212563,0.669446,0.40084,0.184004,0.570658,9.9649339881526
4,F8,0.129405,0.206954,0.114264,0.249088,0.749611,0.447276,0.147632,0.668342,9.9744644134211
5,F8,0.004234,0.66977,0.157763,0.138574,0.911262,0.388676,0.146649,0.567173,9.6846709187121
6,F8,0.119894,0.200186,0.105327,0.242491,0.753151,0.441325,0.138202,0.667483,9.9736754159016
