round,x1,x2,x3,x4,x5,x6,x7,x8,output
round_1,0.233972,0.882475,0.863542,0.888031,,,,,1227.0758566237776
round_2,0.247806,0.804358,0.713705,0.78194,,,,,250.7746472650564
round_3,0.284857,0.771303,0.814135,0.816544,,,,,433.22318000027946
round_4,0.233284,0.883002,0.862887,0.888354,,,,,1228.222594165281
round_5,0.233654,0.883494,0.862541,0.888771,,,,,1231.2634219899649
round_6,0.234386,0.883696,0.862957,0.887812,,,,,1229.4001213150696
round_7,0.235601,0.88322,0.861221,0.886965,,,,,1214.665849950719
round_8,0.186499,0.929565,0.819577,0.844997,,,,,1085.6355263558942
round_9,0.18488,0.836721,0.823065,0.937364,,,,,1108.61260755634
round_10,0.279763,0.928002,0.818467,0.937387,,,,,1580.8807913393266
round_11,0.286375,0.946011,0.798982,0.920888,,,,,1509.9608895507938
round_12,0.280189,0.928043,0.818487,0.938348,,,,,1587.9144064476118
round_13,0.279987,0.927602,0.818844,0.938221,,,,,1585.712983874532
