round,x1,x2,x3,x4,x5,x6,x7,x8,output
round_1,0.988032,0.662768,,,,,,,0.0906091574987899
round_2,0.72426,0.727737,,,,,,,0.5298302112849634
round_3,0.636773,0.791798,,,,,,,0.4065853419736423
round_4,0.703101,0.926762,,,,,,,0.6363073345175521
round_5,0.00129,0.994524,,,,,,,0.0827864492198119
round_6,0.703101,0.926762,,,,,,,0.6432470949113037
round_7,0.702978,0.927209,,,,,,,0.5674419706891185
round_8,0.722992,0.946711,,,,,,,0.5583132114686667
round_9,0.722926,0.94662,,,,,,,0.5648762580684581
round_10,0.722216,0.946632,,,,,,,0.6187717936172208
round_11,0.722518,0.946638,,,,,,,0.3604556587035218
round_12,0.722753,0.946723,,,,,,,0.5672762616808641
round_13,0.70375,0.927693,,,,,,,0.6194055410851929
